Century,Hue Segment,Saturation Segment,Lightness Segment,Percentage
18th Century,2,3,0,1.3043478260869563
18th Century,2,2,0,1.7391304347826086
18th Century,2,1,0,1.3043478260869563
18th Century,2,0,0,1.7391304347826086
18th Century,1,3,0,1.3043478260869563
18th Century,1,2,0,0.4347826086956521
18th Century,1,1,1,0.4347826086956521
18th Century,1,1,0,1.3043478260869563
18th Century,1,0,0,0.4347826086956521
18th Century,0,4,3,0.4347826086956521
18th Century,0,4,2,0.4347826086956521
18th Century,0,4,1,0.4347826086956521
18th Century,0,4,0,6.956521739130435
18th Century,0,3,2,0.8695652173913043
18th Century,0,3,1,3.91304347826087
18th Century,0,3,0,7.82608695652174
18th Century,0,2,2,0.4347826086956521
18th Century,0,2,1,7.82608695652174
18th Century,0,2,0,5.217391304347826
18th Century,0,1,3,0.4347826086956521
18th Century,0,1,2,3.4782608695652173
18th Century,0,1,1,13.043478260869565
18th Century,0,1,0,8.26086956521739
18th Century,0,0,3,0.8695652173913043
18th Century,0,0,2,3.4782608695652173
18th Century,0,0,1,6.521739130434782
18th Century,0,0,0,7.391304347826087
19th Century,5,3,0,0.7594936708860759
19th Century,5,1,0,0.7594936708860759
19th Century,5,0,1,1.2658227848101269
19th Century,5,0,0,1.5189873417721518
19th Century,4,3,0,0.2531645569620253
19th Century,4,0,3,0.5063291139240507
19th Century,4,0,2,0.2531645569620253
19th Century,4,0,0,0.2531645569620253
19th Century,3,3,0,2.278481012658228
19th Century,3,2,1,1.7721518987341771
19th Century,3,2,0,2.0253164556962027
19th Century,3,1,2,0.2531645569620253
19th Century,3,1,1,1.2658227848101269
19th Century,3,1,0,2.278481012658228
19th Century,3,0,3,0.5063291139240507
19th Century,3,0,2,0.5063291139240507
19th Century,3,0,1,3.0379746835443036
19th Century,3,0,0,1.7721518987341771
19th Century,2,3,0,2.0253164556962027
19th Century,2,2,1,0.5063291139240507
19th Century,2,2,0,1.2658227848101269
19th Century,2,1,1,0.2531645569620253
19th Century,2,1,0,3.79746835443038
19th Century,2,0,1,1.7721518987341771
19th Century,2,0,0,1.7721518987341771
19th Century,1,2,0,1.0126582278481011
19th Century,1,1,0,0.5063291139240507
19th Century,1,0,1,0.5063291139240507
19th Century,1,0,0,1.0126582278481011
19th Century,0,4,4,0.5063291139240507
19th Century,0,4,3,0.2531645569620253
19th Century,0,4,2,0.5063291139240507
19th Century,0,4,1,0.7594936708860759
19th Century,0,4,0,0.5063291139240507
19th Century,0,3,2,1.2658227848101269
19th Century,0,3,1,4.050632911392405
19th Century,0,3,0,3.5443037974683547
19th Century,0,2,3,0.2531645569620253
19th Century,0,2,2,2.0253164556962027
19th Century,0,2,1,6.582278481012659
19th Century,0,2,0,4.30379746835443
19th Century,0,1,3,1.2658227848101269
19th Century,0,1,2,4.050632911392405
19th Century,0,1,1,14.683544303797468
19th Century,0,1,0,5.3164556962025316
19th Century,0,0,4,0.2531645569620253
19th Century,0,0,3,1.0126582278481011
19th Century,0,0,2,3.79746835443038
19th Century,0,0,1,7.59493670886076
19th Century,0,0,0,1.7721518987341771
20th Century,5,4,0,0.9230769230769232
20th Century,5,3,3,0.3076923076923077
20th Century,5,3,1,0.3076923076923077
20th Century,5,3,0,0.9230769230769232
20th Century,5,2,3,0.3076923076923077
20th Century,5,2,1,0.6153846153846154
20th Century,5,2,0,1.2307692307692308
20th Century,5,1,4,0.3076923076923077
20th Century,5,1,2,0.3076923076923077
20th Century,5,1,1,0.3076923076923077
20th Century,5,1,0,0.6153846153846154
20th Century,5,0,2,0.3076923076923077
20th Century,5,0,1,0.6153846153846154
20th Century,5,0,0,1.5384615384615383
20th Century,4,3,0,0.3076923076923077
20th Century,4,1,0,0.9230769230769232
20th Century,4,0,1,0.3076923076923077
20th Century,4,0,0,0.3076923076923077
20th Century,3,3,1,0.6153846153846154
20th Century,3,3,0,1.2307692307692308
20th Century,3,2,2,0.3076923076923077
20th Century,3,2,1,0.3076923076923077
20th Century,3,2,0,1.2307692307692308
20th Century,3,1,3,0.3076923076923077
20th Century,3,1,2,0.9230769230769232
20th Century,3,1,1,1.8461538461538465
20th Century,3,1,0,2.769230769230769
20th Century,3,0,2,1.2307692307692308
20th Century,3,0,1,0.9230769230769232
20th Century,3,0,0,2.769230769230769
20th Century,2,4,0,0.6153846153846154
20th Century,2,3,0,0.9230769230769232
20th Century,2,2,0,0.9230769230769232
20th Century,2,1,3,0.3076923076923077
20th Century,2,1,1,0.9230769230769232
20th Century,2,1,0,3.692307692307693
20th Century,2,0,2,0.3076923076923077
20th Century,2,0,1,1.5384615384615383
20th Century,2,0,0,2.769230769230769
20th Century,1,4,1,0.3076923076923077
20th Century,1,3,0,0.3076923076923077
20th Century,1,1,2,0.3076923076923077
20th Century,1,1,1,0.3076923076923077
