Image URL,Dominant Color
https://images.metmuseum.org/CRDImages/ep/web-large/DP-14286-009.jpg,#675e43
https://images.metmuseum.org/CRDImages/ep/web-large/DP-19456-001.jpg,#33240d
https://images.metmuseum.org/CRDImages/ep/web-large/DT1418.jpg,#696044
https://images.metmuseum.org/CRDImages/ep/web-large/DP240926.jpg,#2c261f
https://images.metmuseum.org/CRDImages/es/web-large/DP108867.jpg,#acaaa6
https://images.metmuseum.org/CRDImages/ep/web-large/Wrightsman24.jpg,#95b1aa
https://images.metmuseum.org/CRDImages/ep/web-large/DT1384.jpg,#587381
https://images.metmuseum.org/CRDImages/ep/web-large/DP124053.jpg,#9f998c
https://images.metmuseum.org/CRDImages/ep/web-large/ep44.36.5.R.jpg,#e3dcd8
https://images.metmuseum.org/CRDImages/es/web-large/DP241971.jpg,#a3a19e
https://images.metmuseum.org/CRDImages/es/web-large/DP155972.jpg,#787773
https://images.metmuseum.org/CRDImages/is/web-large/DP169760.jpg,#acacab
https://images.metmuseum.org/CRDImages/es/web-large/DP149938.jpg,#747370
https://images.metmuseum.org/CRDImages/ep/web-large/DT9354.jpg,#7a5e42
https://images.metmuseum.org/CRDImages/ep/web-large/ep44.36.2.R.jpg,#e1d9d3
https://images.metmuseum.org/CRDImages/es/web-large/DP225851.jpg,#5c5e61
https://images.metmuseum.org/CRDImages/ep/web-large/DP287624.jpg,#635946
https://images.metmuseum.org/CRDImages/ep/web-large/DP-28009-001.jpg,#221d14
https://images.metmuseum.org/CRDImages/ep/web-large/DP213052.jpg,#2e251c
https://images.metmuseum.org/CRDImages/ep/web-large/132455.jpg,#eaeaea
https://images.metmuseum.org/CRDImages/ep/web-large/132458.jpg,#e3e3e3
https://images.metmuseum.org/CRDImages/ep/web-large/DP-13139-001.jpg,#251d14
https://images.metmuseum.org/CRDImages/ep/web-large/DP159333.jpg,#372c16
https://images.metmuseum.org/CRDImages/as/web-large/DP204112_CRD.jpg,#e4d2b8
https://images.metmuseum.org/CRDImages/ep/web-large/DP170811.jpg,#342c1d
https://images.metmuseum.org/CRDImages/es/web-large/161951.jpg,#aeaeae
https://images.metmuseum.org/CRDImages/ep/web-large/DP-17370-001.jpg,#2e2214
https://images.metmuseum.org/CRDImages/mi/web-large/MI89.4.3516.jpg,#fbf6ed
https://images.metmuseum.org/CRDImages/ep/web-large/DT11449.jpg,#321e0d
https://images.metmuseum.org/CRDImages/ep/web-large/DP145895.jpg,#756a52
https://images.metmuseum.org/CRDImages/as/web-large/DT7955.jpg,#13171d
https://images.metmuseum.org/CRDImages/ep/web-large/DP-12357-001.jpg,#2c1d11
https://images.metmuseum.org/CRDImages/es/web-large/152739.jpg,#dedede
https://images.metmuseum.org/CRDImages/es/web-large/152736.jpg,#dbdbdb
https://images.metmuseum.org/CRDImages/es/web-large/TP101.jpg,#b3a687
https://images.metmuseum.org/CRDImages/es/web-large/152737.jpg,#dbdbdb
https://images.metmuseum.org/CRDImages/is/web-large/DP240648.jpg,#ae997d
https://images.metmuseum.org/CRDImages/as/web-large/DP214271_CRD.jpg,#b3a491
https://images.metmuseum.org/CRDImages/ep/web-large/DP-18781-001.jpg,#170d07
https://images.metmuseum.org/CRDImages/dp/web-large/271154.jpg,#d3d3d3
https://images.metmuseum.org/CRDImages/as/web-large/DP-14152-011.jpg,#343434
https://images.metmuseum.org/CRDImages/es/web-large/152177.jpg,#dddddd
https://images.metmuseum.org/CRDImages/es/web-large/152178.jpg,#dadada
https://images.metmuseum.org/CRDImages/es/web-large/152738.jpg,#dbdbdb
https://images.metmuseum.org/CRDImages/es/web-large/DP155977.jpg,#8c908f
https://images.metmuseum.org/CRDImages/es/web-large/DP221524.jpg,#bda17a
https://images.metmuseum.org/CRDImages/ep/web-large/DP-14155-001.jpg,#28160b
https://images.metmuseum.org/CRDImages/ep/web-large/DP-24117-001.jpg,#352a21
