Image URL,Dominant Color
https://images.metmuseum.org/CRDImages/ep/web-large/DT26.jpg,#2e1814
https://images.metmuseum.org/CRDImages/rl/web-large/DT3621.jpg,#7e5a3a
https://images.metmuseum.org/CRDImages/ep/web-large/DP-16339-001.jpg,#302820
https://images.metmuseum.org/CRDImages/rl/web-large/DT712.jpg,#8d5532
https://images.metmuseum.org/CRDImages/ep/web-large/DP-20589-001.jpg,#1e130c
https://images.metmuseum.org/CRDImages/ep/web-large/LC-33_92ab-Primary_Temp.jpg,#854f3c
https://images.metmuseum.org/CRDImages/ep/web-large/DP-26278-001.jpg,#806242
https://images.metmuseum.org/CRDImages/is/web-large/DP232478.jpg,#c2ac8b
https://images.metmuseum.org/CRDImages/es/web-large/DP236930.jpg,#6e6961
https://images.metmuseum.org/CRDImages/ep/web-large/DT28_DT29.jpg,#1e1c19
https://images.metmuseum.org/CRDImages/ep/web-large/DT7229.jpg,#140a02
https://images.metmuseum.org/CRDImages/ep/web-large/DP243637.jpg,#352e28
https://images.metmuseum.org/CRDImages/md/web-large/DT202842.jpg,#e3ded5
https://images.metmuseum.org/CRDImages/ep/web-large/DP-15089-001.jpg,#6e5943
https://images.metmuseum.org/CRDImages/ep/web-large/DP159891.jpg,#3b2417
https://images.metmuseum.org/CRDImages/ep/web-large/DP120669.jpg,#18110c
https://images.metmuseum.org/CRDImages/rl/web-large/SLP1938.jpg,#7d5e44
https://images.metmuseum.org/CRDImages/ep/web-large/DP-20746-001.jpg,#24190e
https://images.metmuseum.org/CRDImages/ep/web-large/DT285189.jpg,#21150f
https://images.metmuseum.org/CRDImages/ep/web-large/DP282434.jpg,#231c18
https://images.metmuseum.org/CRDImages/ep/web-large/DP231371.jpg,#7a5c42
https://images.metmuseum.org/CRDImages/ep/web-large/DP-19586-001.jpg,#1b1007
https://images.metmuseum.org/CRDImages/ep/web-large/DP134149.jpg,#321d15
https://images.metmuseum.org/CRDImages/ep/web-large/DT1479.jpg,#372816
https://images.metmuseum.org/CRDImages/md/web-large/sf95-65d1.jpg,#e5d6bd
https://images.metmuseum.org/CRDImages/ep/web-large/DP-24150-001.jpg,#865d40
https://images.metmuseum.org/CRDImages/is/web-large/sf13-160-9r.jpg,#a39382
https://images.metmuseum.org/CRDImages/ep/web-large/DP240360.jpg,#352319
https://images.metmuseum.org/CRDImages/ep/web-large/DP158156.jpg,#845e3c
https://images.metmuseum.org/CRDImages/ep/web-large/DP372687.jpg,#78634a
https://images.metmuseum.org/CRDImages/ep/web-large/DP-20594-001.jpg,#2b1a0d
https://images.metmuseum.org/CRDImages/ep/web-large/DT226950.jpg,#875e35
https://images.metmuseum.org/CRDImages/ep/web-large/DP164779.jpg,#7e5a3b
https://images.metmuseum.org/CRDImages/ep/web-large/DT8310.jpg,#975734
https://images.metmuseum.org/CRDImages/rl/web-large/DT3620.jpg,#7e6036
https://images.metmuseum.org/CRDImages/ep/web-large/DP336526.jpg,#281710
https://images.metmuseum.org/CRDImages/ep/web-large/DP-18296-019.jpg,#301e09
https://images.metmuseum.org/CRDImages/md/web-large/sfx-430-3s7.jpg,#ebe6d8
https://images.metmuseum.org/CRDImages/ep/web-large/DP347299.jpg,#1c1714
https://images.metmuseum.org/CRDImages/ep/web-large/DP-20751-001.jpg,#7b5838
https://images.metmuseum.org/CRDImages/ep/web-large/DP-14975-001.jpg,#101b1f
https://images.metmuseum.org/CRDImages/ep/web-large/DP102430.jpg,#31271d
https://images.metmuseum.org/CRDImages/ep/web-large/DT224782.jpg,#25190f
https://images.metmuseum.org/CRDImages/ep/web-large/DT262309.jpg,#73543e
https://images.metmuseum.org/CRDImages/ep/web-large/EP254.jpg,#25110a
https://images.metmuseum.org/CRDImages/as/web-large/DP213003_CRD.jpg,#76614a
https://images.metmuseum.org/CRDImages/ep/web-large/DP254091.jpg,#846244
https://images.metmuseum.org/CRDImages/ep/web-large/DP164806.jpg,#221913
https://images.metmuseum.org/CRDImages/ep/web-large/DP164807.jpg,#251b14
https://images.metmuseum.org/CRDImages/ep/web-large/DT1051.jpg,#76603b
https://images.metmuseum.org/CRDImages/ep/web-large/DP-23268-001.jpg,#74553a
https://images.metmuseum.org/CRDImages/as/web-large/DP273859_CRD.jpg,#78604b
https://images.metmuseum.org/CRDImages/ep/web-large/EP726.jpg,#eae0d4
